Certification Name,Issuer,Date Earned,Expiry Date,Reference Number,Document,Vendor
ISO/IEC 27001:2022,BSI Group,2024-03-15,2027-03-14,ISMS-SG-118742,acmetech-iso27001-2024.pdf,Acme Technologies
SOC 2 Type II,Ernst & Young LLP,2025-11-01,2026-10-31,SOC2-2025-ACM-004,acmetech-soc2-type2-2025.pdf,Acme Technologies
MTCS SS 584 Tier 3,TUV SUD PSB,2025-06-20,2028-06-19,MTCS-T3-SG-0412,acmetech-mtcs-tier3-2025.pdf,Acme Technologies
ISO/IEC 27001:2022,SIRIM QAS International,2023-09-05,2026-09-04,MY-ISMS-2023-3391,northwind-iso27001-2023.pdf,Northwind Cloud Services
ISO/IEC 20000-1:2018,SIRIM QAS International,2024-02-12,2027-02-11,MY-ITSM-2024-0877,northwind-iso20000-2024.pdf,Northwind Cloud Services
AWS Premier Tier Services Partner,Amazon Web Services,2026-01-15,2026-12-31,APN-PREM-2026-MY-014,northwind-aws-premier-2026.pdf,Northwind Cloud Services
Microsoft Solutions Partner - Azure Infrastructure,Microsoft,2025-10-01,2026-09-30,MSP-AZI-2025-88231,northwind-msp-azure-2025.pdf,Northwind Cloud Services
ISO/IEC 27001:2022,BSI Group India,2024-07-22,2027-07-21,IN-ISMS-2024-5510,meridian-iso27001-2024.pdf,Meridian Data Labs
CMMI Level 5 (Development),ISACA CMMI Institute,2025-04-30,2028-04-29,CMMI-DEV-L5-IN-2231,meridian-cmmi-l5-2025.pdf,Meridian Data Labs
ISO/IEC 27701:2019,BSI Group India,2025-08-14,2028-08-13,IN-PIMS-2025-1104,meridian-iso27701-2025.pdf,Meridian Data Labs
ISO 9001:2015,TUV India,2023-05-10,2026-05-09,IN-QMS-2023-2214,meridian-iso9001-2023.pdf,Meridian Data Labs
ISO/IEC 27001:2022,SAI Global,2024-11-08,2027-11-07,AU-ISMS-2024-7712,silverline-iso27001-2024.pdf,Silverline Cyber
IRAP Assessed - PROTECTED,ASD IRAP Assessor Panel,2025-09-19,2027-09-18,IRAP-2025-AU-0338,silverline-irap-protected-2025.pdf,Silverline Cyber
CREST Accredited Penetration Testing,CREST,2025-02-03,2027-02-02,CREST-PT-AU-1187,silverline-crest-pt-2025.pdf,Silverline Cyber
SOC 2 Type II,KPMG Australia,2025-12-15,2026-12-14,SOC2-2025-SLC-011,silverline-soc2-type2-2025.pdf,Silverline Cyber
ISO 9001:2015,TUV Rheinland,2024-04-18,2027-04-17,DE-QMS-2024-2290,hanseatic-iso9001-2024.pdf,Hanseatic Systems GmbH
TISAX Assessment Level 2,ENX Association,2025-05-27,2028-05-26,TISAX-AL2-DE-6641,hanseatic-tisax-al2-2025.pdf,Hanseatic Systems GmbH
