Certification Name,Issuer,Date Earned,Expiry Date,Reference Number,Document,Vendor
ISO/IEC 27001:2022,TUV SUD America,2024-05-10,2027-05-09,US-ISMS-2024-8801,cascaderobotics-iso27001-2024.pdf,Cascade Robotics
SOC 2 Type II,Moss Adams LLP,2025-08-01,2026-07-31,SOC2-2025-CAS-004,cascaderobotics-soc2-type2-2025.pdf,Cascade Robotics
AWS Advanced Tier Services Partner,Amazon Web Services,2026-02-01,2026-12-31,APN-ADV-2026-US-118,cascaderobotics-aws-advanced-2026.pdf,Cascade Robotics
ISO 9001:2015,BSI Group America,2024-09-01,2027-08-31,US-QMS-2024-3312,blueharbor-iso9001-2024.pdf,Blue Harbor Consulting
ISO/IEC 27001:2022,BSI Group America,2025-03-10,2028-03-09,US-ISMS-2025-2207,blueharbor-iso27001-2025.pdf,Blue Harbor Consulting
CREST Accredited Penetration Testing,CREST,2025-03-14,2027-03-13,CREST-PT-US-2205,ironclad-crest-pt-2025.pdf,Ironclad Cyber Defense
ISO/IEC 27001:2022,Schellman & Company,2024-09-15,2027-09-14,US-ISMS-2024-5521,ironclad-iso27001-2024.pdf,Ironclad Cyber Defense
SOC 2 Type II,Schellman & Company,2025-11-10,2026-11-09,SOC2-2025-ICD-009,ironclad-soc2-type2-2025.pdf,Ironclad Cyber Defense
ISO/IEC 27001:2022,Schellman & Company,2024-11-20,2027-11-19,US-ISMS-2024-6640,greatlakes-iso27001-2024.pdf,Great Lakes ERP Partners
ISO 9001:2015,Schellman & Company,2025-04-02,2028-04-01,US-QMS-2025-4471,greatlakes-iso9001-2025.pdf,Great Lakes ERP Partners
ISO/IEC 27001:2022,BSI Group Canada,2025-02-18,2028-02-17,CA-ISMS-2025-1183,yukondata-iso27001-2025.pdf,Yukon Data Systems
ISO/IEC 27701:2019,BSI Group Canada,2025-09-14,2028-09-13,CA-PIMS-2025-1198,yukondata-iso27701-2025.pdf,Yukon Data Systems
ISO 9001:2015,SAI Global Canada,2024-06-06,2027-06-05,CA-QMS-2024-4471,fraservalley-iso9001-2024.pdf,Fraser Valley Networks
ISO/IEC 27001:2022,SAI Global Canada,2025-01-09,2028-01-08,CA-ISMS-2025-3321,fraservalley-iso27001-2025.pdf,Fraser Valley Networks
AWS Advanced Tier Services Partner,Amazon Web Services,2026-01-10,2026-12-31,APN-ADV-2026-US-072,sonorancloud-aws-advanced-2026.pdf,Sonoran Cloud Works
ISO/IEC 27001:2022,Schellman & Company,2025-05-19,2028-05-18,US-ISMS-2025-5502,sonorancloud-iso27001-2025.pdf,Sonoran Cloud Works
SOC 2 Type II,A-LIGN,2025-11-03,2026-11-02,SOC2-2025-SCW-014,sonorancloud-soc2-type2-2025.pdf,Sonoran Cloud Works
ISO/IEC 27001:2022,NYCE Mexico,2024-08-15,2027-08-14,MX-ISMS-2024-2290,monterreydigital-iso27001-2024.pdf,Monterrey Digital Factory
ISO 9001:2015,ANCE Mexico,2025-02-11,2028-02-10,MX-QMS-2025-1187,monterreydigital-iso9001-2025.pdf,Monterrey Digital Factory
ISO 9001:2015,ICONTEC Colombia,2025-01-22,2028-01-21,CO-QMS-2025-0912,cartagenabpo-iso9001-2025.pdf,Cartagena BPO Solutions
PCI DSS Level 1 Service Provider,ControlCase LatAm,2025-06-16,2026-06-15,PCI-L1-CO-2025-0552,cartagenabpo-pcidss-l1-2025.pdf,Cartagena BPO Solutions
SOC 2 Type II,Deloitte Colombia,2025-09-29,2026-09-28,SOC2-2025-CBS-021,cartagenabpo-soc2-type2-2025.pdf,Cartagena BPO Solutions
PCI DSS Level 1 Service Provider,ControlCase LatAm,2025-10-05,2026-10-04,PCI-L1-CL-2025-0331,andesfintech-pcidss-l1-2025.pdf,Andes Fintech Labs
ISO/IEC 27001:2022,INN Chile,2025-02-20,2028-02-19,CL-ISMS-2025-1183,andesfintech-iso27001-2025.pdf,Andes Fintech Labs
ISO/IEC 27001:2022,IRAM Argentina,2024-04-09,2027-04-08,AR-ISMS-2024-1750,pampasdata-iso27001-2024.pdf,Pampas Data Collective
ISO 9001:2015,IRAM Argentina,2025-01-15,2028-01-14,AR-QMS-2025-2214,pampasdata-iso9001-2025.pdf,Pampas Data Collective
ISO/IEC 27001:2022,ABNT Brazil,2025-05-30,2028-05-29,BR-ISMS-2025-6602,copacabanacloud-iso27001-2025.pdf,Copacabana Cloud Partners
ISO/IEC 20000-1:2018,ABNT Brazil,2025-10-08,2028-10-07,BR-ITSM-2025-4471,copacabanacloud-iso20000-2025.pdf,Copacabana Cloud Partners
ISO 9001:2015,BSI Group,2024-07-14,2027-07-13,UK-QMS-2024-7710,thameside-iso9001-2024.pdf,Thameside Advisory
ISO/IEC 27701:2019,BSI Group,2025-05-06,2028-05-05,UK-PIMS-2025-3312,thameside-iso27701-2025.pdf,Thameside Advisory
CREST Accredited Penetration Testing,CREST,2025-04-02,2027-04-01,CREST-PT-UK-3391,highlandsecurity-crest-pt-2025.pdf,Highland Security Partners
ISO/IEC 27001:2022,BSI Group,2025-09-18,2028-09-17,UK-ISMS-2025-6602,highlandsecurity-iso27001-2025.pdf,Highland Security Partners
ISO/IEC 27001:2022,BSI Group,2024-10-25,2027-10-24,UK-ISMS-2024-5528,merseycloud-iso27001-2024.pdf,Mersey Cloud Collective
ISO/IEC 20000-1:2018,BSI Group,2025-04-11,2028-04-10,UK-ITSM-2025-2298,merseycloud-iso20000-2025.pdf,Mersey Cloud Collective
ISO/IEC 27701:2019,NSAI,2025-06-18,2028-06-17,IE-PIMS-2025-2214,dublinbay-iso27701-2025.pdf,Dublin Bay Analytics
ISO/IEC 27001:2022,NSAI,2025-01-08,2028-01-07,IE-ISMS-2025-4471,dublinbay-iso27001-2025.pdf,Dublin Bay Analytics
ISO 9001:2015,NSAI,2024-03-11,2027-03-10,IE-QMS-2024-1187,shannonestuary-iso9001-2024.pdf,Shannon Estuary Robotics
ISO/IEC 27001:2022,NSAI,2025-07-07,2028-07-06,IE-ISMS-2025-1198,shannonestuary-iso27001-2025.pdf,Shannon Estuary Robotics
ISO/IEC 27001:2022,BSI Group,2025-08-07,2028-08-06,UK-ISMS-2025-9012,belfastharbour-iso27001-2025.pdf,Belfast Harbour Tech
ISO 9001:2015,BSI Group,2025-12-03,2028-12-02,UK-QMS-2025-5581,belfastharbour-iso9001-2025.pdf,Belfast Harbour Tech
SAP Gold Partner,SAP SE,2026-02-01,2026-12-31,SAP-GP-2026-DE-1187,rhinevalley-sap-gold-2026.pdf,Rhine Valley Systems
ISO/IEC 27001:2022,TUV Rheinland,2025-03-24,2028-03-23,DE-ISMS-2025-2207,rhinevalley-iso27001-2025.pdf,Rhine Valley Systems
ISO 9001:2015,TUV Rheinland,2025-08-19,2028-08-18,DE-QMS-2025-3390,rhinevalley-iso9001-2025.pdf,Rhine Valley Systems
ISO/IEC 27001:2022,TUV Rheinland,2024-12-09,2027-12-08,DE-ISMS-2024-4423,berlinerdatenwerk-iso27001-2024.pdf,Berliner Datenwerk
ISO/IEC 27701:2019,TUV Rheinland,2025-06-02,2028-06-01,DE-PIMS-2025-4423,berlinerdatenwerk-iso27701-2025.pdf,Berliner Datenwerk
ISO/IEC 27001:2022,TUV SUD,2025-07-21,2028-07-20,DE-ISMS-2025-3350,bavariancyber-iso27001-2025.pdf,Bavarian Cyber Guard
CREST Accredited Penetration Testing,CREST,2025-11-14,2027-11-13,CREST-PT-DE-3350,bavariancyber-crest-pt-2025.pdf,Bavarian Cyber Guard
ISO/IEC 27001:2022,DEKRA Certification,2024-09-16,2027-09-15,NL-ISMS-2024-7729,bataviacloud-iso27001-2024.pdf,Batavia Cloud Studio
ISO/IEC 20000-1:2018,DEKRA Certification,2025-02-16,2028-02-15,NL-ITSM-2025-7729,bataviacloud-iso20000-2025.pdf,Batavia Cloud Studio
AWS Advanced Tier Services Partner,Amazon Web Services,2026-01-20,2026-12-31,APN-ADV-2026-NL-055,bataviacloud-aws-advanced-2026.pdf,Batavia Cloud Studio
ISO 9001:2015,Vincotte,2025-02-27,2028-02-26,BE-QMS-2025-0651,flandersfield-iso9001-2025.pdf,Flanders Field Robotics
ISO/IEC 27001:2022,Vincotte,2025-08-14,2028-08-13,BE-ISMS-2025-0651,flandersfield-iso27001-2025.pdf,Flanders Field Robotics
ISO/IEC 27701:2019,DEKRA Certification,2025-11-11,2028-11-10,NL-PIMS-2025-9902,zeelanddata-iso27701-2025.pdf,Zeeland Data Governance
ISO/IEC 27001:2022,DEKRA Certification,2025-04-25,2028-04-24,NL-ISMS-2025-9902,zeelanddata-iso27001-2025.pdf,Zeeland Data Governance
EN 9100:2018,AENOR,2024-06-19,2027-06-18,ES-AQMS-2024-3387,pyrenees-en9100-2024.pdf,Pyrenees Engineering Group
ISO 9001:2015,AENOR,2025-01-12,2028-01-11,ES-QMS-2025-3387,pyrenees-iso9001-2025.pdf,Pyrenees Engineering Group
ISO/IEC 27001:2022,AENOR,2025-03-28,2028-03-27,ES-ISMS-2025-6641,madridmanaged-iso27001-2025.pdf,Madrid Managed Services
ISO/IEC 20000-1:2018,AENOR,2025-09-05,2028-09-04,ES-ITSM-2025-6641,madridmanaged-iso20000-2025.pdf,Madrid Managed Services
ISO/IEC 27001:2022,APCER,2024-10-02,2027-10-01,PT-ISMS-2024-2298,lisboacloud-iso27001-2024.pdf,Lisboa Cloud Bridge
ISO 9001:2015,APCER,2025-05-27,2028-05-26,PT-QMS-2025-2298,lisboacloud-iso9001-2025.pdf,Lisboa Cloud Bridge
PCI DSS Level 1 Service Provider,ControlCase EU,2025-09-09,2026-09-08,PCI-L1-IT-2025-0745,milanofintech-pcidss-l1-2025.pdf,Milano Fintech Studio
ISO/IEC 27001:2022,RINA Italy,2025-02-13,2028-02-12,IT-ISMS-2025-0745,milanofintech-iso27001-2025.pdf,Milano Fintech Studio
ISO 9001:2015,SQS Switzerland,2024-05-05,2027-05-04,CH-QMS-2024-1129,alpineassurance-iso9001-2024.pdf,Alpine Assurance Partners
ISO/IEC 27701:2019,SQS Switzerland,2025-10-21,2028-10-20,CH-PIMS-2025-1129,alpineassurance-iso27701-2025.pdf,Alpine Assurance Partners
CMMI Level 3 (Development),ISACA CMMI Institute,2025-06-23,2028-06-22,CMMI-DEV-L3-AT-3390,danubesoftware-cmmi-l3-2025.pdf,Danube Software House
ISO/IEC 27001:2022,Quality Austria,2025-08-08,2028-08-07,AT-ISMS-2025-3390,danubesoftware-iso27001-2025.pdf,Danube Software House
ISO/IEC 27001:2022,DNV Norway,2024-11-14,2027-11-13,NO-ISMS-2024-4482,fjordline-iso27001-2024.pdf,Fjord Line Cloud
ISO 9001:2015,DNV Norway,2025-05-25,2028-05-24,NO-QMS-2025-4482,fjordline-iso9001-2025.pdf,Fjord Line Cloud
ISO 9001:2015,SP Sweden,2025-04-16,2028-04-15,SE-QMS-2025-1129,skanedigital-iso9001-2025.pdf,Skane Digital Works
ISO/IEC 27001:2022,RISE Sweden,2025-11-02,2028-11-01,SE-ISMS-2025-1129,skanedigital-iso27001-2025.pdf,Skane Digital Works
ISO/IEC 27001:2022,Inspecta Finland,2024-08-29,2027-08-28,FI-ISMS-2024-5567,balticseacyber-iso27001-2024.pdf,Baltic Sea Cyber Labs
CREST Accredited Penetration Testing,CREST,2025-12-09,2027-12-08,CREST-PT-FI-5567,balticseacyber-crest-pt-2025.pdf,Baltic Sea Cyber Labs
ISO/IEC 27001:2022,PCBC Poland,2025-01-06,2028-01-05,PL-ISMS-2025-3308,vistulasystems-iso27001-2025.pdf,Vistula Systems Group
ISO 9001:2015,PCBC Poland,2025-06-14,2028-06-13,PL-QMS-2025-3308,vistulasystems-iso9001-2025.pdf,Vistula Systems Group
ISO/IEC 27001:2022,CQS Czech Republic,2024-07-08,2027-07-07,CZ-ISMS-2024-2214,vltavadata-iso27001-2024.pdf,Vltava Data Studio
ISO/IEC 27701:2019,CQS Czech Republic,2025-10-15,2028-10-14,CZ-PIMS-2025-2214,vltavadata-iso27701-2025.pdf,Vltava Data Studio
ISO/IEC 27001:2022,SRAC Romania,2025-05-19,2028-05-18,RO-ISMS-2025-6607,carpathiancloud-iso27001-2025.pdf,Carpathian Cloud Ops
ISO/IEC 20000-1:2018,SRAC Romania,2025-07-23,2028-07-22,RO-ITSM-2025-6607,carpathiancloud-iso20000-2025.pdf,Carpathian Cloud Ops
ISO 9001:2015,Bureau Veritas Ukraine,2024-09-27,2027-09-26,UA-QMS-2024-7712,dniprodigital-iso9001-2024.pdf,Dnipro Digital Forge
ISO/IEC 27001:2022,Bureau Veritas Ukraine,2025-02-06,2028-02-05,UA-ISMS-2025-7712,dniprodigital-iso27001-2025.pdf,Dnipro Digital Forge
PCI DSS Level 1 Service Provider,ControlCase EU,2025-12-02,2026-12-01,PCI-L1-TR-2025-0398,bosphorusbridge-pcidss-l1-2025.pdf,Bosphorus Bridge IT
ISO/IEC 27001:2022,TSE Turkiye,2025-04-30,2028-04-29,TR-ISMS-2025-0398,bosphorusbridge-iso27001-2025.pdf,Bosphorus Bridge IT
ISO 9001:2015,Bureau Veritas Croatia,2024-04-24,2027-04-23,HR-QMS-2024-1152,zagrebassurance-iso9001-2024.pdf,Zagreb Assurance Partners
ISO/IEC 27701:2019,Bureau Veritas Croatia,2025-09-11,2028-09-10,HR-PIMS-2025-1152,zagrebassurance-iso27701-2025.pdf,Zagreb Assurance Partners
ISO/IEC 27001:2022,TUV SUD Slovakia,2025-08-13,2028-08-12,SK-ISMS-2025-4470,tatranetworks-iso27001-2025.pdf,Tatra Networks
ISO 9001:2015,TUV SUD Slovakia,2025-03-27,2028-03-26,SK-QMS-2025-4470,tatranetworks-iso9001-2025.pdf,Tatra Networks
ISO/IEC 27001:2022,Bureau Veritas Lithuania,2024-12-16,2027-12-15,LT-ISMS-2024-3391,balticamber-iso27001-2024.pdf,Baltic Amber Analytics
ISO 9001:2015,Bureau Veritas Lithuania,2025-06-30,2028-06-29,LT-QMS-2025-3391,balticamber-iso9001-2025.pdf,Baltic Amber Analytics
ISO/IEC 27001:2022,DNV Middle East,2025-02-09,2028-02-08,AE-ISMS-2025-5581,waditech-iso27001-2025.pdf,Wadi Tech Solutions
ISO/IEC 20000-1:2018,DNV Middle East,2025-08-17,2028-08-16,AE-ITSM-2025-5581,waditech-iso20000-2025.pdf,Wadi Tech Solutions
CREST Accredited Penetration Testing,CREST,2025-12-04,2027-12-03,CREST-PT-AE-2209,waditech-crest-pt-2025.pdf,Wadi Tech Solutions
ISO/IEC 27001:2022,SASO Saudi Arabia,2024-10-30,2027-10-29,SA-ISMS-2024-6690,riyadhdigital-iso27001-2024.pdf,Riyadh Digital Bridge
