new_aiextracted,new_country,new_hasactivecontract,new_headcount,new_headquarterslocation,importsequencenumber,new_industry,new_legalname,new_overview,new_source,new_sourcecitations,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,new_vendorid,new_vendorname,new_vendorstatus,versionnumber,new_websitedomain,owningbusinessunit,new_businessdomains,new_capabilities,new_regionaloperatingcapacity
False,Ireland,False,470,Dublin,,Information Technology,Shannon Cloud Group DAC,"EU-resident cloud provider offering GDPR-aligned hosting, identity modernisation and managed detection.",Manual Registration,,1,0,,,810a32a6-ba7a-4a6e-a747-bcad70e79cb7,Shannon Cloud Group,Registered,4303021,https://shannoncloud.ie,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Public Sector,Document Intelligence;RPA;Machine Learning,Singapore;Malaysia;Indonesia
False,France,True,1100,Toulouse,,Engineering Services,Lumiere Ingenierie SAS,Aerospace-focused software engineering firm with safety-critical development and certification experience.,Internal Catalogue,,1,0,,,b869d452-f0cf-4401-893d-4413e139e358,Lumiere Ingenierie,Existing,4303014,https://lumiere-ing.fr,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Transport & Logistics,Cloud Migration;DevOps Automation;Site Reliability Engineering,Malaysia;Singapore;Thailand
False,Thailand,False,540,Bangkok,,Engineering Services,Siam Integration Co Ltd,"Industrial systems integrator linking plant-floor OT with enterprise IT, plus field maintenance coverage.",Internal Catalogue,,1,0,,,bf43a72c-3b95-470d-a54b-b79f29e47f91,Siam Integration,Registered,4303007,https://siamintegration.co.th,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Retail & Consumer,Data Engineering;Business Intelligence;Data Governance,India;United Arab Emirates;United Kingdom
True,Hong Kong SAR,False,210,Hong Kong,,Consulting,Victoria Peak Advisory Ltd,Boutique advisory practice covering data governance and regulatory reporting for regional financial institutions.,External Discovery,"[""https://vpadvisory.hk/insights"",""https://www.linkedin.com/company/victoria-peak-advisory""]",1,0,,,fca7bdc4-14fe-4efe-8964-ddb82cf310e3,Victoria Peak Advisory,Potential,4303000,https://vpadvisory.hk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Energy & Utilities,Cybersecurity Operations;Penetration Testing;Identity & Access Management,Australia;New Zealand
False,Canada,True,950,Toronto,,Professional Services,Maple Ridge Systems Corp,Public-sector ERP and finance transformation specialist with a bilingual service desk.,Internal Catalogue,,1,0,,,ccf4d9c6-30c1-4958-828a-5c1e9e23df79,Maple Ridge Systems,Potential,4302993,https://mapleridgesystems.ca,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Energy & Utilities,ERP Implementation;Integration & APIs;Change Management,Germany;Netherlands;Poland
False,Netherlands,False,380,Rotterdam,,Professional Services,Deltawerken Analytics B.V.,"Analytics consultancy with deep experience in port logistics, grid optimisation and asset performance modelling.",Manual Registration,,1,0,,,994c84b5-5c0c-456c-ad4b-f03476730c40,Deltawerken Analytics,Potential,4302986,https://deltawerken-analytics.nl,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Retail & Consumer,Application Development;Test Automation;RPA,Japan;South Korea
True,South Korea,False,145,Seoul,,Software Publishing,Hangang AI Co Ltd,Applied AI product company shipping Korean-language conversational agents and OCR pipelines.,External Discovery,"[""https://hangang.ai/en"",""https://www.gartner.com/reviews/market/conversational-ai-platforms""]",1,0,,,aea2510a-0527-4942-9030-c67dcd9cac5a,Hangang AI,Potential,4302979,https://hangang.ai,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Public Sector,Change Management;Managed Services;Data Governance,United Kingdom;Ireland
False,Vietnam,False,690,Ho Chi Minh City,,Information Technology,Mekong Digital JSC,Offshore engineering partner offering blended onshore-offshore squads and a dedicated QA automation practice.,Manual Registration,,1,0,,,3a49aa44-3f74-453c-ab9d-537c524410ec,Mekong Digital,Registered,4302972,https://mekongdigital.vn,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Telecommunications;Transport & Logistics,Network Infrastructure;Managed Services,United States;Canada;Japan
True,Indonesia,False,260,Jakarta,,Information Technology,PT Garuda Software Works,Jakarta software studio building citizen-facing digital services for Indonesian ministries and universities.,External Discovery,"[""https://garudasoftware.id/portfolio"",""https://www.crunchbase.com/organization/garuda-software-works""]",1,0,,,2286ce6b-6193-4862-b349-df4712e386fa,Garuda Software Works,Existing,4302963,https://garudasoftware.id,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services,Application Development;Integration & APIs;Machine Learning,Singapore;Hong Kong SAR
False,Philippines,True,3400,Manila,,Business Process Outsourcing,Bayanihan Business Services Inc,"Large outsourcing provider handling claims processing and back-office operations, increasingly automation-led.",Internal Catalogue,,1,0,,,dcceb378-ee0e-43d9-ab8d-19bafed0d69e,Bayanihan BPO,Existing,4302956,https://bayanihanbpo.ph,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Public Sector,Cloud Migration;Cybersecurity Operations;Managed Services,United Arab Emirates;Saudi Arabia;Qatar
