Vendor,Project,Added On,Added By,Note
Acme Technologies,Document Digitisation Programme,2026-05-11T09:24:00Z,Priya Raman,"Strongest IDP fit in the internal catalogue. Singapore delivery hub keeps data in-region; small headcount is the main concern for a three-hub rollout."
Bayanihan BPO,Document Digitisation Programme,2026-05-11T09:31:00Z,Priya Raman,"Already runs our AP processing centre, so transition risk is low. Verify their automation maturity, not just headcount capacity."
Hangang AI,Document Digitisation Programme,2026-06-02T14:07:00Z,Priya Raman,"Externally discovered and promoted. OCR pipeline looks strong but the record is model-extracted — needs verification before RFP."
Northwind Cloud Services,Cloud Migration Phase 2,2026-07-06T10:52:00Z,Daniel Okonkwo,"Incumbent from Phase 1. Include for continuity but do not treat as a default award."
Shannon Cloud Group,Cloud Migration Phase 2,2026-07-06T11:05:00Z,Daniel Okonkwo,"EU-resident option for the workloads with GDPR constraints. No prior delivery at scale with us."
Silverline Cyber,Cybersecurity Operations Uplift,2026-03-24T08:45:00Z,Daniel Okonkwo,"IRAP-assessed sovereign SOC. Coverage is AU/NZ only — ask how they would staff Asian business hours."
Sahara Tech Partners,Cybersecurity Operations Uplift,2026-04-02T16:18:00Z,Daniel Okonkwo,"Gulf-region coverage complements Silverline. Potential vendor, so onboarding effort must be priced into the comparison."
Pacific Rim Networks,Regional Network Refresh,2025-09-19T13:40:00Z,Priya Raman,"Awarded. Retained on the shortlist for audit history now that the project is closed."
Hanseatic Systems GmbH,,2026-07-14T15:22:00Z,Priya Raman,"No project yet — parking this for the upcoming ERP consolidation sourcing round."
Victoria Peak Advisory,,2026-07-21T11:36:00Z,Amara Sithole,"Unassigned. Small advisory shop worth keeping in view for data governance work; too small for a full programme."
