"new_certificationid","new_certificationname","new_dateearned","new_document","new_expirydate","importsequencenumber","new_issuer","new_referencenumber","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","new_vendor"
"b88a4dbf-708a-f111-8077-7ced8dfed52e","SOC 2 Type II","2025-11-25 00:00:00.0000000","","2026-11-24 00:00:00.0000000","4","Deloitte Ireland","SOC2-2025-SCG-006","1","0","4","","4353386","4b0e47bf-c36d-f111-ab0d-6045bd56e224","810a32a6-ba7a-4a6e-a747-bcad70e79cb7"
"b68a4dbf-708a-f111-8077-7ced8dfed52e","HITRUST CSF r2 Certification","2026-02-12 00:00:00.0000000","","2028-02-11 00:00:00.0000000","4","HITRUST Alliance","HITRUST-2026-IE-0663","1","0","4","","4353385","4b0e47bf-c36d-f111-ab0d-6045bd56e224","810a32a6-ba7a-4a6e-a747-bcad70e79cb7"
"b48a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27018:2019","2025-04-09 00:00:00.0000000","","2028-04-08 00:00:00.0000000","4","NSAI","IE-CLOUD-2025-5141","1","0","4","","4353384","4b0e47bf-c36d-f111-ab0d-6045bd56e224","810a32a6-ba7a-4a6e-a747-bcad70e79cb7"
"b28a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-04-09 00:00:00.0000000","","2028-04-08 00:00:00.0000000","4","NSAI","IE-ISMS-2025-5140","1","0","4","","4353383","4b0e47bf-c36d-f111-ab0d-6045bd56e224","810a32a6-ba7a-4a6e-a747-bcad70e79cb7"
"b08a4dbf-708a-f111-8077-7ced8dfed52e","DO-178C DAL B Process Qualification","2025-01-30 00:00:00.0000000","","2028-01-29 00:00:00.0000000","4","Bureau Veritas","FR-DO178-2025-0217","1","0","4","","4353382","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b869d452-f0cf-4401-893d-4413e139e358"
"ae8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-06-05 00:00:00.0000000","","2028-06-04 00:00:00.0000000","4","AFNOR Certification","FR-ISMS-2025-8812","1","0","4","","4353381","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b869d452-f0cf-4401-893d-4413e139e358"
"ac8a4dbf-708a-f111-8077-7ced8dfed52e","EN 9100:2018","2024-10-16 00:00:00.0000000","","2027-10-15 00:00:00.0000000","4","AFNOR Certification","FR-AQMS-2024-3390","1","0","4","","4353380","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b869d452-f0cf-4401-893d-4413e139e358"
"aa8a4dbf-708a-f111-8077-7ced8dfed52e","IEC 62443-2-4 Service Provider","2025-09-01 00:00:00.0000000","","2028-08-31 00:00:00.0000000","4","TUV Nord Thailand","TH-IACS-2025-0771","1","0","4","","4353379","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bf43a72c-3b95-470d-a54b-b79f29e47f91"
"a88a4dbf-708a-f111-8077-7ced8dfed52e","ISO 45001:2018","2025-02-06 00:00:00.0000000","","2028-02-05 00:00:00.0000000","4","TUV Nord Thailand","TH-OHS-2025-0448","1","0","4","","4353378","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bf43a72c-3b95-470d-a54b-b79f29e47f91"
"a68a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2024-08-21 00:00:00.0000000","","2027-08-20 00:00:00.0000000","4","TUV Nord Thailand","TH-QMS-2024-1130","1","0","4","","4353377","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bf43a72c-3b95-470d-a54b-b79f29e47f91"
"a48a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-11-14 00:00:00.0000000","","2028-11-13 00:00:00.0000000","4","Hong Kong Quality Assurance Agency","HK-ISMS-2025-7734","1","0","4","","4353376","4b0e47bf-c36d-f111-ab0d-6045bd56e224","fca7bdc4-14fe-4efe-8964-ddb82cf310e3"
"a28a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 20000-1:2018","2025-05-16 00:00:00.0000000","","2028-05-15 00:00:00.0000000","4","BSI Group Canada","CA-ITSM-2025-2288","1","0","4","","4353375","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ccf4d9c6-30c1-4958-828a-5c1e9e23df79"
"a08a4dbf-708a-f111-8077-7ced8dfed52e","SOC 2 Type II","2025-09-30 00:00:00.0000000","","2026-09-29 00:00:00.0000000","4","MNP LLP","SOC2-2025-MRS-018","1","0","4","","4353374","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ccf4d9c6-30c1-4958-828a-5c1e9e23df79"
"9e8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-02-29 00:00:00.0000000","","2027-02-28 00:00:00.0000000","4","BSI Group Canada","CA-ISMS-2024-6614","1","0","4","","4353373","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ccf4d9c6-30c1-4958-828a-5c1e9e23df79"
"9c8a4dbf-708a-f111-8077-7ced8dfed52e","ISO 14001:2015","2025-07-08 00:00:00.0000000","","2028-07-07 00:00:00.0000000","4","DEKRA Certification","NL-EMS-2025-0921","1","0","4","","4353372","4b0e47bf-c36d-f111-ab0d-6045bd56e224","994c84b5-5c0c-456c-ad4b-f03476730c40"
"9a8a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2024-11-19 00:00:00.0000000","","2027-11-18 00:00:00.0000000","4","DEKRA Certification","NL-QMS-2024-4412","1","0","4","","4353371","4b0e47bf-c36d-f111-ab0d-6045bd56e224","994c84b5-5c0c-456c-ad4b-f03476730c40"
"988a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-03-25 00:00:00.0000000","","2028-03-24 00:00:00.0000000","4","DEKRA Certification","NL-ISMS-2025-5588","1","0","4","","4353370","4b0e47bf-c36d-f111-ab0d-6045bd56e224","994c84b5-5c0c-456c-ad4b-f03476730c40"
"968a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 42001:2023 AI Management System","2026-04-20 00:00:00.0000000","","2029-04-19 00:00:00.0000000","4","BSI Group Korea","KR-AIMS-2026-0088","1","0","4","","4353369","4b0e47bf-c36d-f111-ab0d-6045bd56e224","aea2510a-0527-4942-9030-c67dcd9cac5a"
"948a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-12-03 00:00:00.0000000","","2028-12-02 00:00:00.0000000","4","Korean Foundation for Quality","KR-ISMS-2025-1450","1","0","4","","4353368","4b0e47bf-c36d-f111-ab0d-6045bd56e224","aea2510a-0527-4942-9030-c67dcd9cac5a"
"928a4dbf-708a-f111-8077-7ced8dfed52e","CMMI Level 3 (Development)","2025-06-11 00:00:00.0000000","","2028-06-10 00:00:00.0000000","4","ISACA CMMI Institute","CMMI-DEV-L3-VN-4419","1","0","4","","4353367","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3a49aa44-3f74-453c-ab9d-537c524410ec"
"908a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2024-09-27 00:00:00.0000000","","2027-09-26 00:00:00.0000000","4","Bureau Veritas Vietnam","VN-QMS-2024-7006","1","0","4","","4353366","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3a49aa44-3f74-453c-ab9d-537c524410ec"
"8e8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-09-27 00:00:00.0000000","","2027-09-26 00:00:00.0000000","4","Bureau Veritas Vietnam","VN-ISMS-2024-7005","1","0","4","","4353365","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3a49aa44-3f74-453c-ab9d-537c524410ec"
"8c8a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2025-10-02 00:00:00.0000000","","2028-10-01 00:00:00.0000000","4","SGS Indonesia","ID-QMS-2025-3313","1","0","4","","4353364","4b0e47bf-c36d-f111-ab0d-6045bd56e224","2286ce6b-6193-4862-b349-df4712e386fa"
"8a8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-10-02 00:00:00.0000000","","2028-10-01 00:00:00.0000000","4","SGS Indonesia","ID-ISMS-2025-3312","1","0","4","","4353363","4b0e47bf-c36d-f111-ab0d-6045bd56e224","2286ce6b-6193-4862-b349-df4712e386fa"
"888a4dbf-708a-f111-8077-7ced8dfed52e","PCI DSS Level 1 Service Provider","2025-07-10 00:00:00.0000000","","2026-07-09 00:00:00.0000000","4","ControlCase","PCI-L1-PH-2025-0688","1","0","4","","4353362","4b0e47bf-c36d-f111-ab0d-6045bd56e224","dcceb378-ee0e-43d9-ab8d-19bafed0d69e"
"868a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2025-01-15 00:00:00.0000000","","2028-01-14 00:00:00.0000000","4","SGS Philippines","PH-QMS-2025-2077","1","0","4","","4353361","4b0e47bf-c36d-f111-ab0d-6045bd56e224","dcceb378-ee0e-43d9-ab8d-19bafed0d69e"
"848a4dbf-708a-f111-8077-7ced8dfed52e","HIPAA Compliance Attestation","2025-08-01 00:00:00.0000000","","2026-07-31 00:00:00.0000000","4","Coalfire","HIPAA-2025-BYN-0033","1","0","4","","4353360","4b0e47bf-c36d-f111-ab0d-6045bd56e224","dcceb378-ee0e-43d9-ab8d-19bafed0d69e"
"828a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-05-23 00:00:00.0000000","","2027-05-22 00:00:00.0000000","4","TUV Rheinland Philippines","PH-ISMS-2024-8830","1","0","4","","4353359","4b0e47bf-c36d-f111-ab0d-6045bd56e224","dcceb378-ee0e-43d9-ab8d-19bafed0d69e"
"808a4dbf-708a-f111-8077-7ced8dfed52e","ISO 22301:2019","2024-12-01 00:00:00.0000000","","2027-11-30 00:00:00.0000000","4","DNV","AE-BCMS-2024-0155","1","0","4","","4353358","4b0e47bf-c36d-f111-ab0d-6045bd56e224","02369b9b-dea5-4132-9b95-f8176088cc7f"
"7e8a4dbf-708a-f111-8077-7ced8dfed52e","UAE Information Assurance Compliance Certificate","2025-11-05 00:00:00.0000000","","2027-11-04 00:00:00.0000000","4","TDRA","UAEIA-2025-0912","1","0","4","","4353357","4b0e47bf-c36d-f111-ab0d-6045bd56e224","02369b9b-dea5-4132-9b95-f8176088cc7f"
