"new_businessunit","new_deliveryprojectname","new_enddate","new_engagement1id","new_headcount","importsequencenumber","new_iscasestudy","new_outcomesummary","new_startdate","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","new_vendor"
"Controller's Department","Supplier Invoice OCR Rollout","2026-06-15 00:00:00.0000000","e33a9878-638a-f111-8076-6045bd55bd50","10","2","False","Extended the document intelligence pilot to accounts payable across two more business units, holding straight-through processing above 70%.","2026-02-01 00:00:00.0000000","1","0","4","","4341972","4b0e47bf-c36d-f111-ab0d-6045bd56e224","8d66e83a-7774-42de-9fa2-49414c96244d"
"Controller's Department","Loan Servicing Back-Office Transition","","183b9878-638a-f111-8076-6045bd55bd50","52","2","False","Ongoing transition of loan servicing back-office functions; two of four process areas transitioned so far.","2026-01-05 00:00:00.0000000","1","0","4","","4341964","4b0e47bf-c36d-f111-ab0d-6045bd56e224","dcceb378-ee0e-43d9-ab8d-19bafed0d69e"
"Energy Sector Group","Distribution Network Loss Analytics","2025-01-24 00:00:00.0000000","163b9878-638a-f111-8076-6045bd55bd50","15","2","False","Deployed loss analytics across the distribution network, narrowing the gap between billed and delivered energy by 3 percentage points.","2023-11-06 00:00:00.0000000","1","0","4","","4341963","4b0e47bf-c36d-f111-ab0d-6045bd56e224","994c84b5-5c0c-456c-ad4b-f03476730c40"
"","Energy Trading Risk Model Review","2026-06-05 00:00:00.0000000","143b9878-638a-f111-8076-6045bd55bd50","7","2","True","Case study: independent review of a Hong Kong energy trader's risk models, identifying two material calibration gaps closed before go-live.","2025-09-29 00:00:00.0000000","1","0","4","","4341962","4b0e47bf-c36d-f111-ab0d-6045bd56e224","fca7bdc4-14fe-4efe-8964-ddb82cf310e3"
"Information Technology Department","Portal Accessibility Remediation","","123b9878-638a-f111-8076-6045bd55bd50","8","2","False","Ongoing remediation of accessibility findings across the regional portal, closing 60% of identified issues to date.","2026-02-16 00:00:00.0000000","1","0","4","","4341961","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3a49aa44-3f74-453c-ab9d-537c524410ec"
"","Citizen Feedback Platform","2025-12-18 00:00:00.0000000","103b9878-638a-f111-8076-6045bd55bd50","16","2","True","Case study: launched a citizen feedback and complaints platform for a Southeast Asian city government, handling 60,000 submissions in year one.","2024-09-22 00:00:00.0000000","1","0","4","","4341960","4b0e47bf-c36d-f111-ab0d-6045bd56e224","2286ce6b-6193-4862-b349-df4712e386fa"
"","Regional Language Support Chatbot","2026-05-14 00:00:00.0000000","0e3b9878-638a-f111-8076-6045bd55bd50","11","2","True","Case study: deployed a regional-language support chatbot for a telecom operator, containing 48% of tier-1 chat volume.","2025-06-09 00:00:00.0000000","1","0","4","","4341959","4b0e47bf-c36d-f111-ab0d-6045bd56e224","aea2510a-0527-4942-9030-c67dcd9cac5a"
"Controller's Department","ERP Month-End Close Acceleration","2025-03-28 00:00:00.0000000","0c3b9878-638a-f111-8076-6045bd55bd50","19","2","False","Reworked month-end close processes in the finance ERP, cutting close time from six days to three.","2024-01-15 00:00:00.0000000","1","0","4","","4341958","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ccf4d9c6-30c1-4958-828a-5c1e9e23df79"
"Transport Sector Group","Rail Signalling Software Assurance","","0a3b9878-638a-f111-8076-6045bd55bd50","10","2","True","Ongoing independent assurance of signalling software updates, producing certification evidence for each release.","2025-10-06 00:00:00.0000000","1","0","4","","4341957","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b869d452-f0cf-4401-893d-4413e139e358"
"Information Technology Department","Manufacturing OT-IT Bridge Programme","","083b9878-638a-f111-8076-6045bd55bd50","13","2","False","Ongoing programme bridging plant-floor operational technology with enterprise IT across three regional plants.","2025-07-01 00:00:00.0000000","1","0","4","","4341956","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bf43a72c-3b95-470d-a54b-b79f29e47f91"
"","EU Data Residency Compliance Review","2026-03-20 00:00:00.0000000","063b9878-638a-f111-8076-6045bd55bd50","9","2","True","Case study: independent review confirming EU data residency compliance for an Irish public-sector client ahead of an audit deadline.","2025-11-03 00:00:00.0000000","1","0","4","","4341955","4b0e47bf-c36d-f111-ab0d-6045bd56e224","810a32a6-ba7a-4a6e-a747-bcad70e79cb7"
"","National Utility Billing Modernisation","2025-08-08 00:00:00.0000000","043b9878-638a-f111-8076-6045bd55bd50","33","2","True","Case study: modernised the billing platform for a Gulf-region utility serving 1.2 million residential accounts, cutting billing cycle errors by 45%.","2024-02-19 00:00:00.0000000","1","0","4","","4341954","4b0e47bf-c36d-f111-ab0d-6045bd56e224","02369b9b-dea5-4132-9b95-f8176088cc7f"
"Treasury Department","Cross-Border Payments Sandbox","","023b9878-638a-f111-8076-6045bd55bd50","6","2","False","Ongoing sandbox testing of a cross-border payments corridor with two regional partner banks.","2026-05-01 00:00:00.0000000","1","0","4","","4341953","4b0e47bf-c36d-f111-ab0d-6045bd56e224","47d221d9-98d4-40d9-a9b5-dcbbc0d00c3d"
"Information Technology Department","Field Office Satellite Backup Links","","003b9878-638a-f111-8076-6045bd55bd50","14","2","True","Ongoing rollout of satellite backup links for field offices in low-connectivity regions.","2025-09-15 00:00:00.0000000","1","0","4","","4341952","4b0e47bf-c36d-f111-ab0d-6045bd56e224","4474ff98-14d5-481e-a5f6-ce16851a7df5"
"Information Technology Department","Branch Office Connectivity Refresh","2023-09-30 00:00:00.0000000","fe3a9878-638a-f111-8076-6045bd55bd50","35","2","False","Refreshed connectivity at 22 branch offices, reducing average packet loss during peak hours by 40%.","2022-06-01 00:00:00.0000000","1","0","4","","4341951","4b0e47bf-c36d-f111-ab0d-6045bd56e224","4474ff98-14d5-481e-a5f6-ce16851a7df5"
