Vendor Name,Legal Name,Website Domain,Business Domains,Capabilities,Industry,Country,HQ Location,Regional Operating Capacity,Headcount,Vendor Status,Has Active Contract,Source,Overview,AI Extracted,Source Citations
Cascade Robotics,Cascade Robotics Inc,cascaderobotics.com,Manufacturing;Transport & Logistics,RPA;Machine Learning;Application Development,Information Technology,United States,Seattle,United States;Canada,310,Potential,False,External Discovery,"Applied robotics and RPA integrator serving Pacific Northwest manufacturers and logistics operators.",True,"[""https://cascaderobotics.com/about"",""https://www.linkedin.com/company/cascade-robotics""]"
Blue Harbor Consulting,Blue Harbor Consulting LLC,blueharborconsulting.com,Financial Services;Public Sector,Change Management;Data Governance;Business Intelligence,Consulting,United States,Boston,United States,640,Registered,False,Manual Registration,"Boutique advisory firm supporting regulatory change and data governance programmes for New England financial institutions.",False,
Ironclad Cyber Defense,Ironclad Cyber Defense Inc,ironcladcyberdefense.com,Public Sector;Energy & Utilities,Cybersecurity Operations;Penetration Testing;Identity & Access Management,Cybersecurity,United States,Austin,United States;Canada;Mexico,220,Potential,False,External Discovery,"Managed security provider offering continuous penetration testing and identity modernisation for critical infrastructure operators.",True,"[""https://ironcladcyberdefense.com/services"",""https://www.gartner.com/reviews/market/mssp-north-america""]"
Great Lakes ERP Partners,Great Lakes ERP Partners LLC,greatlakeserp.com,Manufacturing,ERP Implementation;Change Management;Integration & APIs,Professional Services,United States,Chicago,United States,780,Registered,False,Manual Registration,"Midwest SAP and Oracle implementation partner focused on discrete manufacturing clients.",False,
Yukon Data Systems,Yukon Data Systems Corp,yukondatasystems.ca,Energy & Utilities;Public Sector,Data Engineering;Business Intelligence;Data Governance,Information Technology,Canada,Calgary,Canada;United States,410,Potential,False,External Discovery,"Prairie-based data platform vendor serving energy operators with production analytics and regulatory reporting pipelines.",True,"[""https://yukondatasystems.ca/solutions"",""https://www.linkedin.com/company/yukon-data-systems""]"
Fraser Valley Networks,Fraser Valley Networks Ltd,fraservalleynetworks.ca,Telecommunications;Transport & Logistics,Network Infrastructure;Managed Services,Telecommunications,Canada,Vancouver,Canada,260,Registered,False,Manual Registration,"Western Canadian network integrator providing managed WAN and edge connectivity for logistics hubs.",False,
Sonoran Cloud Works,Sonoran Cloud Works Inc,sonorancloudworks.com,Retail & Consumer;Healthcare,Cloud Migration;DevOps Automation;Site Reliability Engineering,Information Technology,United States,Phoenix,United States;Mexico,340,Potential,False,External Discovery,"Southwest cloud consultancy migrating retail and healthcare workloads to multi-cloud platforms with SRE retainers.",True,"[""https://sonorancloudworks.com/case-studies"",""https://www.crunchbase.com/organization/sonoran-cloud-works""]"
Monterrey Digital Factory,Monterrey Digital Factory SA de CV,monterreydigitalfactory.mx,Manufacturing;Retail & Consumer,Application Development;Test Automation;RPA,Information Technology,Mexico,Monterrey,Mexico;United States,290,Registered,False,Manual Registration,"Nearshore engineering studio delivering application modernisation and QA automation for North American manufacturers.",False,
Cartagena BPO Solutions,Cartagena BPO Solutions SAS,cartagenabpo.com.co,Retail & Consumer;Financial Services,Managed Services;RPA;Document Intelligence,Business Process Outsourcing,Colombia,Cartagena,Colombia;Mexico;United States,1250,Potential,False,External Discovery,"Nearshore contact centre and back-office operator expanding automation-led services for US retail brands.",True,"[""https://cartagenabpo.com.co/en"",""https://www.linkedin.com/company/cartagena-bpo""]"
Andes Fintech Labs,Andes Fintech Labs SpA,andesfintechlabs.cl,Financial Services,Application Development;Integration & APIs;Machine Learning,Financial Technology,Chile,Santiago,Chile;Peru;Argentina,150,Potential,False,External Discovery,"Santiago-based open banking specialist building payment connectors for Andean regional banks.",True,"[""https://andesfintechlabs.cl/producto"",""https://www.gartner.com/reviews/market/fintech-latam""]"
