"new_certificationexternalid","new_certificationname","new_dateearned","new_document","new_expirydate","importsequencenumber","new_issuer","new_referencenumber","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","new_vendor"
"ac438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27701:2019","2026-07-15 00:00:00.0000000","","2029-07-14 00:00:00.0000000","21","NSAI","IE-PIMS-2026-0167","1","0","4","","4670112","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a66ec1b0-a48c-f111-8076-000d3a80923d"
"aa438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2026-04-01 00:00:00.0000000","","2029-03-31 00:00:00.0000000","21","NSAI","IE-ISMS-2026-0112","1","0","4","","4670111","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a66ec1b0-a48c-f111-8076-000d3a80923d"
"a8438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2026-05-20 00:00:00.0000000","","2029-05-19 00:00:00.0000000","21","AFNOR Certification","FR-ISMS-2026-0145","1","0","4","","4670110","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a56ec1b0-a48c-f111-8076-000d3a80923d"
"a6438a58-aa8c-f111-8076-002248eb7656","EN 9100:2018","2026-02-22 00:00:00.0000000","","2029-02-21 00:00:00.0000000","21","AFNOR Certification","FR-AQMS-2026-0098","1","0","4","","4670109","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a56ec1b0-a48c-f111-8076-000d3a80923d"
"a4438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2026-03-05 00:00:00.0000000","","2029-03-04 00:00:00.0000000","21","TUV Nord Thailand","TH-ISMS-2026-0071","1","0","4","","4670108","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a46ec1b0-a48c-f111-8076-000d3a80923d"
"a2438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2026-01-18 00:00:00.0000000","","2029-01-17 00:00:00.0000000","21","TUV Nord Thailand","TH-QMS-2026-0067","1","0","4","","4670107","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a46ec1b0-a48c-f111-8076-000d3a80923d"
"a0438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2026-06-01 00:00:00.0000000","","2029-05-31 00:00:00.0000000","21","Hong Kong Quality Assurance Agency","HK-QMS-2026-0098","1","0","4","","4670106","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a36ec1b0-a48c-f111-8076-000d3a80923d"
"9e438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2026-03-10 00:00:00.0000000","","2029-03-09 00:00:00.0000000","21","Hong Kong Quality Assurance Agency","HK-ISMS-2026-0044","1","0","4","","4670105","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a36ec1b0-a48c-f111-8076-000d3a80923d"
"9c438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2026-05-12 00:00:00.0000000","","2029-05-11 00:00:00.0000000","21","BSI Group Canada","CA-ISMS-2026-0134","1","0","4","","4670104","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a26ec1b0-a48c-f111-8076-000d3a80923d"
"9a438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 20000-1:2018","2026-02-01 00:00:00.0000000","","2029-01-31 00:00:00.0000000","21","BSI Group Canada","CA-ITSM-2026-0091","1","0","4","","4670103","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a26ec1b0-a48c-f111-8076-000d3a80923d"
"98438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27701:2019","2025-01-25 00:00:00.0000000","","2028-01-24 00:00:00.0000000","21","Telarc New Zealand","NZ-PIMS-2025-6602","1","0","4","","4670102","4b0e47bf-c36d-f111-ab0d-6045bd56e224","cafae3b2-a48c-f111-8076-000d3a81e01c"
"96438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2024-10-19 00:00:00.0000000","","2027-10-18 00:00:00.0000000","21","Telarc New Zealand","NZ-QMS-2024-6602","1","0","4","","4670101","4b0e47bf-c36d-f111-ab0d-6045bd56e224","cafae3b2-a48c-f111-8076-000d3a81e01c"
"94438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-10-13 00:00:00.0000000","","2028-10-12 00:00:00.0000000","21","SIRIM QAS International","MY-QMS-2025-8814","1","0","4","","4670100","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c9fae3b2-a48c-f111-8076-000d3a81e01c"
"92438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-04-28 00:00:00.0000000","","2028-04-27 00:00:00.0000000","21","SIRIM QAS International","MY-ISMS-2025-8814","1","0","4","","4670099","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c9fae3b2-a48c-f111-8076-000d3a81e01c"
