new_aiextracted,new_country,new_hasactivecontract,new_headcount,new_headquarterslocation,importsequencenumber,new_industry,new_legalname,new_overview,new_sourcecitations,new_source,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,new_vendorid,new_vendorname,new_vendorstatus,versionnumber,new_websitedomain,owningbusinessunit,new_businessdomains,new_capabilities,new_regionaloperatingcapacity
False,Ghana,False,150,Accra,,Financial Technology,Accra Digital Exchange Ltd,Accra fintech consultancy building automated KYC and onboarding tools for West African banks.,,1,1,0,,,9dfae3b2-a48c-f111-8076-000d3a81e01c,Accra Digital Exchange,Registered,4658491,accradigitalexchange.com.gh,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Retail & Consumer,Machine Learning;RPA,Ghana;Nigeria;Ivory Coast
False,Switzerland,False,150,Zurich,,Consulting,Alpine Assurance Partners AG,Zurich advisory boutique supporting compliance transformation for private banks and insurers.,,1,1,0,,,83fae3b2-a48c-f111-8076-000d3a81e01c,Alpine Assurance Partners,Registered,4658465,alpineassurance.ch,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Healthcare,Data Governance;Change Management,Switzerland;Liechtenstein
False,Jordan,False,140,Amman,,Information Technology,Amman Cloud Circle LLC,Amman-based cloud reseller and managed services provider for Levant region retailers.,,1,1,0,,,95fae3b2-a48c-f111-8076-000d3a81e01c,Amman Cloud Circle,Registered,4658483,ammancloudcircle.jo,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Public Sector,Cloud Migration;Managed Services,Jordan;Palestine
True,Thailand,False,120,Phuket,,Engineering Services,Andaman Coast Networks Co Ltd,Phuket engineering firm connecting offshore energy platforms and coastal logistics networks.,"[""https://andamancoastnetworks.co.th/services"",""https://www.linkedin.com/company/andaman-coast-networks""]",0,1,0,,,b9fae3b2-a48c-f111-8076-000d3a81e01c,Andaman Coast Networks,Potential,4658519,andamancoastnetworks.co.th,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Transport & Logistics;Energy & Utilities,Network Infrastructure;Integration & APIs,Thailand;Myanmar
True,Chile,False,150,Santiago,,Financial Technology,Andes Fintech Labs SpA,Santiago-based open banking specialist building payment connectors for Andean regional banks.,"[""https://andesfintechlabs.cl/producto"",""https://www.gartner.com/reviews/market/fintech-latam""]",0,1,0,,,70fae3b2-a48c-f111-8076-000d3a81e01c,Andes Fintech Labs,Potential,4658446,andesfintechlabs.cl,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services,Application Development;Integration & APIs;Machine Learning,Chile;Peru;Argentina
False,New Zealand,False,160,Wellington,,Information Technology,Aotearoa Cloud Collective Ltd,Wellington cloud provider migrating retail and government workloads to sovereign cloud regions.,,1,1,0,,,bcfae3b2-a48c-f111-8076-000d3a81e01c,Aotearoa Cloud Collective,Registered,4658522,aotearoacloud.co.nz,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Public Sector,Cloud Migration;Managed Services,New Zealand;Australia
False,United States,False,290,Charlotte,,Information Technology,Appalachian Managed IT LLC,Charlotte managed services provider running SOC coverage for regional hospital networks.,,1,1,0,,,befae3b2-a48c-f111-8076-000d3a81e01c,Appalachian Managed IT,Registered,4658524,appalachianmanagedit.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Healthcare;Public Sector,Managed Services;Cybersecurity Operations,United States
True,Morocco,False,190,Casablanca,,Information Technology,Atlas Mountain Software SARL,Casablanca nearshore software vendor serving Francophone telecom and government clients.,"[""https://atlasmountainsoftware.ma/fr/apropos"",""https://www.linkedin.com/company/atlas-mountain-software""]",0,1,0,,,9cfae3b2-a48c-f111-8076-000d3a81e01c,Atlas Mountain Software,Potential,4658490,atlasmountainsoftware.ma,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Telecommunications,Application Development;Test Automation,Morocco;Tunisia;Algeria
False,Lithuania,False,130,Vilnius,,Professional Services,Baltic Amber Analytics UAB,Vilnius analytics house supporting Baltic states energy grid reporting modernisation.,,1,1,0,,,8ffae3b2-a48c-f111-8076-000d3a81e01c,Baltic Amber Analytics,Registered,4658477,balticamberanalytics.lt,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Public Sector,Data Engineering;Business Intelligence,Lithuania;Latvia;Estonia
False,Finland,False,140,Helsinki,,Cybersecurity,Baltic Sea Cyber Labs Oy,Helsinki security lab providing identity modernisation for Nordic telecom operators.,,1,1,0,,,87fae3b2-a48c-f111-8076-000d3a81e01c,Baltic Sea Cyber Labs,Registered,4658469,balticseacyberlabs.fi,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Telecommunications,Cybersecurity Operations;Identity & Access Management,Finland;Estonia;Sweden
