Task Title,Stage,Description,Vendor,Status,Focal Role,Due Date,Completed On,Sequence,Notes
Vendor Classification (VCF),Onboarding,"Complete the Vendor Classification Form and confirm the risk tier that applies to this engagement. Classification drives the depth of the checks that follow.",Hanseatic Systems GmbH,Complete,VM,2026-06-19,2026-06-17T10:12:00Z,1,Classified Tier 2 - moderate risk.
Vendor Registration and Company Information,Onboarding,"Vendor completes registration with legal entity details, ownership, tax identifiers and banking information.",Hanseatic Systems GmbH,Complete,Vendor,2026-06-26,2026-06-24T08:45:00Z,2,
"Mandatory Document Submission (Schedule 10, NDA)",Onboarding,"Vendor submits the signed Schedule 10 declaration, mutual NDA and insurance certificates for review by the contract owner.",Hanseatic Systems GmbH,Complete,Vendor,2026-07-03,2026-07-06T16:30:00Z,3,Submitted three days late; insurance certificate had to be reissued with the correct entity name.
Background Check and ITSCP Attestation,Onboarding,"Risk team runs sanctions and adverse media screening and records the vendor's IT security control programme attestation.",Hanseatic Systems GmbH,In Progress,Risk Team,2026-07-31,,4,Screening clear. Awaiting the completed ITSCP questionnaire from the vendor.
Contract Delivery Log Creation,Onboarding,"Create the Contract Delivery Log for the engagement and pre-populate the Schedule 10 and NDA line items.",Hanseatic Systems GmbH,Not Started,Contract Owner,2026-08-07,,5,
System Access Provisioning,Onboarding,"Raise the access request for the vendor team, covering network access, collaboration tools and any application-level roles required.",Hanseatic Systems GmbH,Not Started,MyAccess,2026-08-14,,6,
Supplier Master and Payment Setup,Onboarding,"Finance creates the supplier master record, validates bank details through the callback process and confirms payment terms.",Hanseatic Systems GmbH,Not Started,Finance,2026-08-21,,7,
Vendor Classification (VCF),Onboarding,"Complete the Vendor Classification Form and confirm the risk tier that applies to this engagement. Classification drives the depth of the checks that follow.",Hangang AI,Complete,VM,2026-07-17,2026-07-16T09:05:00Z,1,"Classified Tier 3 - elevated risk, given the AI processing scope."
Vendor Registration and Company Information,Onboarding,"Vendor completes registration with legal entity details, ownership, tax identifiers and banking information.",Hangang AI,In Progress,Vendor,2026-07-31,,2,Profile was model-extracted during discovery; every field needs vendor confirmation before it is treated as verified.
"Mandatory Document Submission (Schedule 10, NDA)",Onboarding,"Vendor submits the signed Schedule 10 declaration, mutual NDA and insurance certificates for review by the contract owner.",Hangang AI,Not Started,Vendor,2026-08-07,,3,
Background Check and ITSCP Attestation,Onboarding,"Risk team runs sanctions and adverse media screening and records the vendor's IT security control programme attestation.",Hangang AI,Not Started,Risk Team,2026-08-14,,4,
Contract Delivery Log Creation,Onboarding,"Create the Contract Delivery Log for the engagement and pre-populate the Schedule 10 and NDA line items.",Hangang AI,Not Started,Contract Owner,2026-08-21,,5,
System Access Provisioning,Onboarding,"Raise the access request for the vendor team, covering network access, collaboration tools and any application-level roles required.",Hangang AI,N/A,MyAccess,,,6,"Pilot runs entirely in the vendor-hosted environment, so no internal system access is required."
Supplier Master and Payment Setup,Onboarding,"Finance creates the supplier master record, validates bank details through the callback process and confirms payment terms.",Hangang AI,Not Started,Finance,2026-08-28,,7,
Vendor Classification (VCF),Onboarding,"Complete the Vendor Classification Form and confirm the risk tier that applies to this engagement. Classification drives the depth of the checks that follow.",Silverline Cyber,Complete,VM,2025-04-11,2025-04-09T11:20:00Z,1,Classified Tier 3 - elevated risk due to privileged access during testing.
